,index,opening,closing
0,2019-01,3605,5446
1,2019-02,3242,3876
2,2019-03,4528,4764
3,2019-04,5076,5105
4,2019-05,4709,5327
5,2019-06,4316,4529
6,2019-07,4571,4846
7,2019-08,4307,4300
8,2019-09,4114,4485
9,2019-10,5090,5421
10,2019-11,5104,4860
11,2019-12,4441,6575
12,2020-01,4044,4471
13,2020-02,4121,4221
14,2020-03,4392,4570
15,2020-04,4393,4130
16,2020-05,4733,3755
17,2020-06,5551,4382
18,2020-07,5843,4318
19,2020-08,5239,4329
20,2020-09,5446,3668
21,2020-10,5209,4630
22,2020-11,5760,5297
23,2020-12,5300,6675
24,2021-01,4541,3834
25,2021-02,4473,3214
26,2021-03,6116,4396
27,2021-04,6838,5530
28,2021-05,5800,4948
29,2021-06,6254,4904
